task	wave	status	model	effort	owner	writable_paths	dependencies
E0000-01	W0	done	gpt-5.6-luna	low	edition-worker	editions/AXP-E0000/**;editions/BACKLOG.md	none
E0000-02	W1	done	gpt-5.6-sol	high	security-orchestrator	.gitignore;.proof/**;editions/AXP-E0000/handoffs/E0000-02.md	E0000-01
E0000-03	W1	done	gpt-5.6-terra	medium	process-worker	scripts/swarm.sh;scripts/swarm-fixtures/**;editions/AXP-E0000/handoffs/E0000-03.md	E0000-01
E0000-04	W1	done	gpt-5.6-terra	medium	test-impact-worker	scripts/test-scoped.sh;editions/AXP-E0000/handoffs/E0000-04.md	E0000-01
E0000-05	W2	done	gpt-5.6-sol	high	e0000-contract-steward	contracts/**;ARCHITECTURE.md;editions/AXP-E0000/handoffs/E0000-05.md	E0000-01
E0000-13	W3	done	gpt-5.6-sol	high	replay-design-agent	editions/AXP-E0000/handoffs/E0000-13.md	E0000-05
E0000-14	W4	done	gpt-5.6-sol	high	kernel-replay-agent	crates/proof-kernel/**;editions/AXP-E0000/handoffs/E0000-14.md	E0000-13
E0000-16	W4	done	gpt-5.6-sol	high	storage-replay-agent	crates/proof-storage/**;editions/AXP-E0000/handoffs/E0000-16.md	E0000-13
E0000-15	W4	done	gpt-5.6-luna	medium	test-routing-auditor	crates/proof-transport-http/**;crates/proof-transport-ws/**;editions/AXP-E0000/handoffs/E0000-15.md	E0000-13
E0000-18	W5	done	gpt-5.6-luna	medium	kernel-contract-reconciler	contracts/kernel-api.md;editions/AXP-E0000/handoffs/E0000-18.md	E0000-14;E0000-15;E0000-16
E0000-06	W6	done	gpt-5.6-terra	high	content-v1-worker	crates/proof-content/**;registry/content/**;schemas/content/**;editions/AXP-E0000/handoffs/E0000-06.md	E0000-14;E0000-15;E0000-16;E0000-18
E0000-10	W7	done	gpt-5.6-terra	medium	e0000-cli-v1	crates/proof-transport-cli/**;editions/AXP-E0000/handoffs/E0000-10.md	E0000-06
E0000-11	W7	done	gpt-5.6-terra	medium	swarm_process	crates/proof-transport-http/**;editions/AXP-E0000/handoffs/E0000-11.md	E0000-06
E0000-12	W7	done	gpt-5.6-terra	medium	e0000_mcp_ws_preflight	crates/proof-transport-mcp/**;editions/AXP-E0000/handoffs/E0000-12.md	E0000-06
E0000-17	W8	done	gpt-5.6-terra	medium	e0000_mcp_ws_preflight	crates/proof-transport-ws/**;editions/AXP-E0000/handoffs/E0000-17.md	E0000-06
E0000-07	W9	done	gpt-5.6-terra	medium	swarm_process	conformance/**;editions/AXP-E0000/handoffs/E0000-07.md	E0000-10;E0000-11;E0000-12;E0000-17
E0000-08	W10	done	gpt-5.6-terra	medium	e0000-cli-v1	crates/proof-agent-runtime/**;docs/dogfood/**;evals/**;editions/AXP-E0000/handoffs/E0000-08.md	E0000-07
E0000-09	W11	done	gpt-5.6-sol	high	orchestrator	editions/AXP-E0000/**;Cargo.toml;Cargo.lock	E0000-02;E0000-03;E0000-04;E0000-05;E0000-06;E0000-07;E0000-08;E0000-10;E0000-11;E0000-12;E0000-13;E0000-14;E0000-15;E0000-16;E0000-17;E0000-18
